风险矩阵,澳门,北京,成都,大连,福州,广州,哈尔滨,杭州,济南,昆明,南京,南宁,青岛,厦门,上海,深圳,太原,天津,威海,武汉,香港,烟台,延吉,郑州,重庆,贵阳,呼和浩特,兰州,南昌,乌鲁木齐,西安,常州,沈阳,长沙,长春,海口,桂林,南通,宁波,温州,义乌,无锡,黄山,德宏,合肥,揭阳,泉州,张家界,中国澳门,中国香港,牡丹江,石家庄,西双版纳
2022-10-23,0,1.0892516976295654,0.5457373749279303,0,2.1063805745009274,2.3892249658596407,2.1999224962314563,1.8095578873105154,0,0,0.7955961836038437,0,0.20666827074183527,2.036202894688883,2.494014158159358,1.8253844841496565,0,0.786934577677344,0,0,3.43834924711065,0,0,0,0.4944286440103804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-30,0,0.9552615294273591,0.475601287838165,0,1.6792124849739247,2.2771692333724225,2.246163720178399,1.5841821905002649,0,0.08073061960827527,0.4023306646711241,0,0.26908132767620285,2.00554942015234,2.0049633947799808,1.7292395251441066,0,0.4497327059273495,0,0,3.223766432594177,0,0,0,0.24633993414339436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-06,0,0.5152893692061777,0.6473929477064944,0,1.7043453866555207,2.1136344181983975,0,0.5390811096982834,0,0,0.5142222893708513,0,0,1.8847535133709548,2.3634534393345086,1.549108150628435,0,0,0,0,3.2014823247444104,0,0,0,0.4685048836820421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18541290310680125,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-13,0,0.18001137156971042,0.6011858867272079,0,0,1.9327426619179064,0,0.9746926198317158,0,0,0.5743532632327468,0,0,1.8219277792578559,2.2059564777748446,1.4919701693467367,0,0.5475943224189133,0,0,3.0752793554111237,0,0,0,0.4471985268881391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2638889108272762,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-20,0,0.637036026787829,0.363033961020216,0.1286301481528901,0,1.8735941652066352,0.04929781687782285,1.152363877179028,0,0,0.6429888622732373,0,0.6237117233637012,1.6812649176300676,2.0733899300440997,1.3665197619516503,0,0.6020787053610349,0,0,2.920843201308461,0,0,0,0.39382721060376363,0,0,0,0,0,0,0,0.4039915856656277,0,0.20655074169877094,0,0,0,0,0.179158209231789,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-27,0,0.35035887431262575,0.03049153890310892,0,0,1.8285527959320609,0,1.0705423187981573,0,0,0,0,0.1326455278698277,1.6287113858601032,1.922128312838035,1.293643548484804,0,0,0,0,2.9067906277000284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-04,0,0.27740832808512994,0,0.2804645227383334,0,1.7292625034803217,0,0,0,0,0,0,0.0494418965449223,1.7039527314862781,2.0479546914715447,1.4060392102620294,0,0,0,0,3.0598293875522296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-11,0,0.08357291235240896,0.25286948311928076,0,0,1.8554648636562818,0,0.2766385199657334,0,0,0.1594141510360318,0,0,1.5381508425900914,1.9701956297002996,1.2906208774977912,0,0.1594141510360318,0,0,3.0453785732198004,0,0,0,0.1504856093358404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22816075460561114,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-18,0,0,0.27330320259911167,0,0,1.2507986346247404,0,0.44004416276653774,0,0,0.36983568328173405,0,0,0.7903995419986071,1.3498413768280515,0.537952463042326,0,0.351299677274945,0,0,2.3139834502220102,0,0,0,0.4658637674853668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.418967287787885,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-25,0,0.09268916896513177,0.3227054523714511,0.7386926595838831,0,0.9573443234634383,0.07588487741839596,0.7496640316445814,0,0,0.5901100392509232,0,0.5966906140758682,0.6337138553024838,1.0607858425997045,0.6486650834807747,0,0.7352179775941382,0,0,2.4354345285562147,0,0,0,0.35963795170445223,0,0,0,0,0,0,0,0.03241918363730567,0,0,0,0,0,0,0.2522653075672206,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-01,0,0.15086258694535545,0.4039688129995206,0.7331633727420872,0,1.234212554992744,0.07588487741839596,0.7447577484459798,0,0,0.6250188959755381,0,0.5822538784477436,1.0012925548547535,1.2446732341443743,0.8555373406469806,0,0.7614424973507634,0,0,2.6114868780806666,0,0,0,0.3463319174930416,0,0,0,0,0,0,0,0.039972321527751535,0,0,0,0,0,0,0.3605783017925372,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-08,0,1.1223268594673637,0.2784007457308193,0,0,1.4395226247383195,0,1.0220019328830565,0,0,0.4278276302594207,0,0,1.1420624400727928,1.1545963067916427,0.8796389393412832,0,0.4278276302594207,0,0,2.4922134037276766,0,0,0,0.6138996947738694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47803822782221106,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-15,0,1.2793420648484872,0.3049831104562773,0,0,1.3107547142058775,0,1.0023728910532885,0,0,0.33765099991033276,0,0,1.2365870684371154,1.6152137794756034,1.0038164219998789,0,0.33765099991033276,0,0,2.531921095546898,0,0,0,0.5605962869828034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5181554510301936,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-22,0,1.0025229269228209,0.049487008590882335,0.8011567860541523,0,1.4621527283368758,0.25197613647407724,0.6380662943496103,0,0,0.5774734733095633,0,0.5876853744700478,1.1235907260906137,1.6641943365572751,0.8242741264842192,0,0.518339759260013,0,0,2.6849294429347013,0,0,0,0,0,0,0,0,0,0,0,0.05106129369336384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-29,0.47520141491923684,1.367515761084475,0.5417168200023801,1.549545600028552,0.6779448687463584,1.561319103837389,1.0301273868577208,1.3840336502465402,0.3803480489207712,0.36996601312704935,1.304123645631391,0,1.349197501419428,1.1152808747883636,1.8871548917529324,1.2214049049264797,0,1.3967891235111796,0,0,3.1118882204972307,0,0,0,0.04199839927029485,0,0,0,0,0,0.390487680271651,0,0.8143634230380884,0,0,0,0,0,0.5530061321380584,0,0,0.3734543409728706,0,0,0,0,0,0,0,0,0,0,0
2023-02-05,0.6970501645355932,1.5428291938405438,0.8913357825610754,1.795496727730427,0.9486421859005317,1.6808271378897626,1.2519761364740771,1.616600951554446,0.6567555696764202,0.6537291150462323,1.526829752432748,0,1.6173188304069472,0.8841142997153093,2.081864887964561,1.3958598528571273,0,1.6084143626264966,0,0,3.299483066972732,0,0,0,0,0,0,0,0,0,0.6156643732369349,0,1.0510612936933639,0,0,0,0,0,0.7748548817544147,0,0,0.5476111002513522,0,0,0,0,0,0,0,0,0,0,0
2023-02-12,0.6001401515275369,1.456125958580538,0.8569094725118819,1.6930738902311153,0.8028836053546583,1.548987287916193,1.1550661234660209,1.5293621263006925,0.538203631729521,0.6056030472290389,1.4222265039842044,0,1.538520519362627,1.1012299134504338,1.951163728218193,1.285869756979089,0,1.4784873913664645,0,0,3.183418080998168,0,0,0,0.08908770697086993,0,0,0,0,0,0.5444978648272093,0,0.9613896896092268,0,0,0,0,0,0.6779448687463584,0,0,0.45456150805653395,0,0,0,0,0,0,0,0,0,0,0
