,省,市,市（代码）,日期,现存确诊,新增确诊,本土新增确诊,无症状(只有本土),新增治愈,新增死亡,累计确诊,累计治愈,累计死亡
252438,辽宁,沈阳,210100,2022.12.02,323,0,44,134,0,0,599,276,
253485,辽宁,营口,210800,2022.12.02,0,0,0,12,0,0,218,218,
254532,辽宁,鞍山,210300,2022.12.02,21,0,0,12,0,0,40,19,
255579,辽宁,葫芦岛,211400,2022.12.02,2,0,0,16,0,0,229,226,1
256623,辽宁,大连,210200,2022.12.02,19,0,2,134,0,0,684,665,
257670,辽宁,阜新,210900,2022.12.02,21,0,1,21,0,0,31,10,
258717,辽宁,辽阳,211000,2022.12.02,1,0,0,19,0,0,13,12,
259764,辽宁,铁岭,211200,2022.12.02,130,0,2,8,0,0,160,30,
260811,辽宁,朝阳,211300,2022.12.02,20,0,0,12,0,0,47,26,1
261857,辽宁,盘锦,211100,2022.12.02,34,0,8,10,0,0,48,14,
262903,云南,普洱,530800,2022.12.02,10,0,0,4,0,0,22,12,
263945,云南,德宏州,,2022.12.02,130,0,0,1,0,0,520,390,
264988,云南,临沧,530900,2022.12.02,12,0,0,3,0,0,25,13,
266028,云南,西双版纳,532800,2022.12.02,70,0,0,4,0,0,122,51,1
267071,云南,昆明,530100,2022.12.02,839,0,46,437,0,0,914,75,
268114,云南,昭通,530600,2022.12.02,414,0,18,66,0,0,440,26,
269157,云南,玉溪,530400,2022.12.02,15,0,0,90,0,0,29,13,1
270200,云南,曲靖,530300,2022.12.02,25,0,2,38,0,0,40,15,
271243,云南,大理州,,2022.12.02,120,0,14,160,0,0,133,13,
272281,云南,保山,530500,2022.12.02,39,0,1,14,0,0,50,11,
273324,云南,红河州,,2022.12.02,105,0,6,36,0,0,144,39,
274366,云南,丽江,530700,2022.12.02,37,0,0,0,0,0,44,7,
275409,云南,楚雄州,,2022.12.02,25,0,3,16,0,0,29,4,
276447,云南,文山州,,2022.12.02,10,0,2,20,0,0,23,13,
277483,云南,迪庆州,,2022.12.02,43,0,14,6,0,0,43,,
277895,山西,晋中,140700,2022.12.02,8,0,0,67,0,0,141,133,
278935,山西,太原,140100,2022.12.02,220,0,3,319,0,0,657,437,
279976,山西,运城,140800,2022.12.02,54,0,2,61,0,0,274,220,
281018,山西,朔州,140600,2022.12.02,255,0,10,212,0,0,492,237,
282060,山西,大同,140200,2022.12.02,777,0,20,530,0,0,1306,529,
283102,山西,忻州,140900,2022.12.02,23,0,0,207,0,0,135,112,
284140,山西,阳泉,140300,2022.12.02,362,0,21,221,0,0,497,135,
285182,山西,长治,140400,2022.12.02,80,0,11,207,0,0,90,10,
286224,山西,晋城,140500,2022.12.02,265,0,58,219,0,0,302,37,
287262,山西,临汾,141000,2022.12.02,227,0,59,371,0,0,254,27,
288302,山西,吕梁,141100,2022.12.02,214,0,3,777,0,0,378,164,
289343,甘肃,兰州,620100,2022.12.02,72,0,0,325,0,0,1049,975,2
290390,甘肃,临夏州,,2022.12.02,0,0,0,7,0,0,82,82,
291433,甘肃,甘南州,,2022.12.02,0,0,0,0,0,0,49,49,
292468,甘肃,天水,620500,2022.12.02,0,0,0,0,0,0,57,57,
293513,甘肃,白银,620400,2022.12.02,0,0,0,0,0,0,29,29,
294558,甘肃,酒泉,620900,2022.12.02,0,0,0,0,0,0,1,1,
294970,甘肃,张掖,620700,2022.12.02,0,0,0,0,0,0,19,19,
296014,甘肃,定西,621100,2022.12.02,0,0,0,0,0,0,15,15,
297059,甘肃,平凉,620800,2022.12.02,0,0,0,0,0,0,9,9,
298104,甘肃,陇南,621200,2022.12.02,17,0,0,0,0,0,33,16,
299149,甘肃,庆阳,621000,2022.12.02,0,0,0,0,0,0,8,8,
300182,甘肃,金昌,620300,2022.12.02,0,0,0,0,0,0,1,1,
301221,甘肃,嘉峪关,620200,2022.12.02,0,0,0,0,0,0,5,5,
301633,甘肃,武威,620600,2022.12.02,0,0,0,0,0,0,8,8,
302045,内蒙古,呼和浩特,150100,2022.12.02,466,0,66,96,0,0,4362,3896,
303090,内蒙古,乌兰察布,150900,2022.12.02,3,0,0,14,0,0,101,98,
304136,内蒙古,巴彦淖尔,150800,2022.12.02,0,0,0,21,0,0,46,45,1
305182,内蒙古,包头,150200,2022.12.02,0,0,0,14,0,0,213,213,
306228,内蒙古,呼伦贝尔,150700,2022.12.02,105,0,0,25,0,0,840,735,
307274,内蒙古,兴安盟,152200,2022.12.02,7,0,0,20,0,0,40,33,
308318,内蒙古,通辽,150500,2022.12.02,0,0,0,19,0,0,33,33,
309364,内蒙古,赤峰,150400,2022.12.02,65,0,6,9,0,0,529,464,
310410,内蒙古,阿拉善盟,152900,2022.12.02,0,0,0,1,0,0,177,177,
310825,内蒙古,锡林郭勒盟,152500,2022.12.02,1,0,1,39,0,0,444,443,
311870,内蒙古,鄂尔多斯,150600,2022.12.02,129,0,7,65,0,0,431,302,
312916,内蒙古,乌海,150300,2022.12.02,0,0,0,10,0,0,21,21,
313962,贵州,黔西南州,,2022.12.02,2,0,1,13,0,0,16,14,
315003,贵州,贵阳,520100,2022.12.02,68,0,6,40,0,0,398,329,1
316044,贵州,遵义,520300,2022.12.02,84,0,5,73,0,0,200,116,
317083,贵州,六盘水,520200,2022.12.02,10,0,1,5,0,0,25,14,1
318123,贵州,毕节,520500,2022.12.02,17,0,2,90,0,0,587,570,
319162,贵州,铜仁,520600,2022.12.02,10,0,0,8,0,0,39,29,
320202,贵州,黔东南州,,2022.12.02,8,0,0,6,0,0,27,19,
321240,贵州,黔南州,,2022.12.02,17,0,8,20,0,0,53,36,
322281,西藏,拉萨,540100,2022.12.02,10,0,0,8,0,0,778,768,
323328,西藏,日喀则,540200,2022.12.02,4,0,0,0,0,0,241,237,
324371,西藏,昌都,540300,2022.12.02,20,0,0,2,0,0,263,243,
325414,西藏,山南,540500,2022.12.02,0,0,0,0,0,0,14,14,
326457,西藏,那曲地区,,2022.12.02,4,0,0,6,0,0,91,87,
327500,西藏,阿里地区,542500,2022.12.02,2,0,0,4,0,0,19,17,
328543,青海,西宁,630100,2022.12.02,65,0,13,382,0,0,349,284,
329582,青海,海北州,,2022.12.02,2,0,0,36,0,0,9,7,
