Entity,Year,fish-discards
Sri Lanka,1995,34786.78485
Sri Lanka,1996,28760.45758
Sri Lanka,1997,27172.81459
Sri Lanka,1998,31668.51412
Sri Lanka,1999,19756.39893
Sri Lanka,2000,33872.88827
Sri Lanka,2001,17322.6174
Sri Lanka,2002,15265.01212
Sri Lanka,2003,38891.5616
Sri Lanka,2004,38098.65333
Sri Lanka,2005,8154.852059
Sri Lanka,2006,20192.22171
Sri Lanka,2007,20150.1056
Sri Lanka,2008,22977.7856
Sri Lanka,2009,22993.76353
Sri Lanka,2010,24318.57476
Sri Lanka,2011,16042.15689
Sri Lanka,2012,16361.71886
Sri Lanka,2013,16892.9524
Sri Lanka,2014,22271.72996
Sri Lanka,2015,14897.36994
Sri Lanka,2016,18265.08733
Sri Lanka,2017,14544.42139
Sri Lanka,2018,17511.61774
Sudan,1964,124.219904
Sudan,1965,123.73024
Sudan,1966,123.240576
Sudan,1967,122.750912
Sudan,1968,122.261248
Sudan,1969,121.771584
Sudan,1970,121.28192
Sudan,1971,120.792256
Sudan,1972,120.302592
Sudan,1973,119.812928
Sudan,1974,119.323264
Sudan,1975,118.8336
Sudan,1976,118.343936
Sudan,1977,117.854272
Sudan,1978,117.364608
Sudan,1979,116.874944
Sudan,1980,116.38528
Sudan,1981,57.947808
Sudan,1984,46.89615738
Sudan,1985,56.03457049
Sudan,1986,55.79375213
Sudan,1987,63.75360495
Sudan,1988,71.64235901
Sudan,1989,79.46001431
Sudan,1990,87.20657087
Sudan,1991,94.88202867
Sudan,1992,102.4863877
Sudan,1993,110.019648
Sudan,1994,54.764992
Sudan,1998,17.92855467
Sudan,1999,35.693888
Sudan,2000,53.296
Sudan,2001,70.73489067
Sudan,2002,88.01056
Sudan,2003,70.08200533
Sudan,2004,52.316672
Sudan,2005,34.71456
Sudan,2006,17.27566933
Sudan,2008,51.337344
Sudan,2009,102.185024
Suriname,1953,7396.8
Suriname,1954,7396.8
Suriname,1955,8629.6
Suriname,1956,8629.6
Suriname,1957,4931.2
Suriname,1958,6164
Suriname,1959,6164
Suriname,1960,8629.6
Suriname,1961,24656
Suriname,1962,18492
Suriname,1963,18492
Suriname,1964,20957.6
Suriname,1965,20957.6
Suriname,1966,19724.8
Suriname,1967,20957.6
Suriname,1968,24656
Suriname,1969,36984
Suriname,1970,43148
Suriname,1971,36984
Suriname,1972,41915.2
Suriname,1973,45613.6
Suriname,1974,38474.08
Suriname,1975,46476.56
Suriname,1976,13287.44
Suriname,1977,17344.96
Suriname,1978,8790.4
Suriname,1979,9899.92
Suriname,1980,10296.56
Suriname,1981,12006.4
Suriname,1982,8592.08
Suriname,1983,8801.12
Suriname,1984,9417.52
Suriname,1985,7284.24
Suriname,1986,8431.28
Suriname,1987,13646.56
Suriname,1988,8704.64
Suriname,1989,15152.72
Suriname,1990,11095.2
Suriname,1991,7852.4
Suriname,1992,3216
Suriname,1993,728.96
Suriname,1994,2846.16
Suriname,1995,12328
Suriname,1996,30401.37159
Suriname,1997,25362.42319
Suriname,1998,26632.19478
Suriname,1999,22193.50261
Suriname,2000,29069.67652
Suriname,2001,36837.60696
Suriname,2002,34729.06783
Suriname,2003,32111.32609
Suriname,2004,25260.93913
Suriname,2005,22509.94783
Suriname,2006,14126.26087
Suriname,2007,13513.26609
Suriname,2008,4091.958261
Suriname,2009,4547.241739
Suriname,2010,7796.61913
Suriname,2011,7261.217391
Suriname,2012,7623.083178
Suriname,2013,7402.781648
Suriname,2014,4253.252174
Suriname,2015,3249.611594
Suriname,2016,1965.089855
Suriname,2017,680.5681159
Suriname,2018,3907.873568
Sweden,1950,8357.303766
Sweden,1951,7674.119587
Sweden,1952,8112.211443
Sweden,1953,7448.643997
Sweden,1954,7033.368265
Sweden,1955,7747.77173
Sweden,1956,8503.381339
Sweden,1957,9867.588676
Sweden,1958,10122.44151
Sweden,1959,10472.0679
Sweden,1960,9481.218612
Sweden,1961,10103.88147
Sweden,1962,10821.54841
Sweden,1963,11895.81909
Sweden,1964,14772.73057
Sweden,1965,14645.43353
Sweden,1966,9101.219096
Sweden,1967,9299.501978
Sweden,1968,9165.092119
Sweden,1969,7351.470363
Sweden,1970,8935.30663
Sweden,1971,8003.118169
Sweden,1972,7607.574112
Sweden,1973,6646.46375
Sweden,1974,6195.381516
Sweden,1975,6614.199327
Sweden,1976,7550.960038
Sweden,1977,5478.938795
Sweden,1978,4831.600966
Sweden,1979,5036.790449
Sweden,1980,6701.328857
Sweden,1981,7889.346142
Sweden,1982,8697.780248
Sweden,1983,8751.0159
Sweden,1984,10037.75426
Sweden,1985,8788.419885
Sweden,1986,8199.259068
Sweden,1987,8172.717313
Sweden,1988,8750.088753
Sweden,1989,8971.115522
Sweden,1990,8577.914879
Sweden,1991,8623.789256
Sweden,1992,5140.83913
Sweden,1993,6789.429339
Sweden,1994,6216.025215
Sweden,1995,7857.438568
Sweden,1996,7518.717425
Sweden,1997,4831.38745
Sweden,1998,7657.158177
Sweden,1999,7646.195847
Sweden,2000,6144.241765
Sweden,2001,7676.814246
Sweden,2002,8918.262535
Sweden,2003,9468.443761
Sweden,2004,6302.170451
Sweden,2005,4776.5029
Sweden,2006,5969.03352
Sweden,2007,3603.099768
Sweden,2008,3836.609309
Sweden,2009,4045.205989
Sweden,2010,4816.231946
Sweden,2011,11858.54922
Sweden,2012,8943.208248
Sweden,2013,10996.66499
Sweden,2014,10197.43904
Sweden,2015,23797.62113
Sweden,2016,21905.48493
Sweden,2017,24657.66174
Sweden,2018,16822.62557
Syria,1950,210
Syria,1951,208.4090909
Syria,1952,206.8181818
Syria,1953,205.2272727
Syria,1954,203.6363636
Syria,1955,202.0454545
Syria,1956,200.4545455
Syria,1957,198.8636364
Syria,1958,197.2727273
Syria,1959,176.1136364
Syria,1960,174.6818182
Syria,1961,173.25
Syria,1962,171.8181818
Syria,1963,151.4545455
Syria,1964,150.1818182
Syria,1965,148.9090909
Syria,1966,147.6363636
Syria,1969,35.95454545
Syria,1970,35.63636364
Syria,1971,25.22727273
Syria,1972,25
Syria,1973,19.81818182
Syria,1974,19.63636364
Syria,1975,14.59090909
Syria,1976,14.45454545
Syria,1977,84.95454545
Syria,1978,88.51212288
Syria,1979,87.33469963
Syria,1980,86.18416491
Syria,1981,81.71818182
Syria,1982,80.90909091
Syria,1983,80.1
Syria,1984,78.45185185
Syria,1985,76.8037037
Syria,1986,75.15555556
Syria,1987,73.50740741
Syria,1988,71.85925926
Syria,1989,70.21111111
Syria,1990,65.0962963
Syria,1991,63.90740741
Syria,1992,60.13333333
Syria,1993,98.24695044
Syria,1994,557.0262508
Syria,1995,524.2774613
Syria,1996,530.9072648
Syria,1997,522.5324558
Syria,1998,515.8485703
Syria,1999,494.4727983
Syria,2000,484.5901695
Syria,2001,455.9060389
Syria,2002,447.7780463
Syria,2003,404.637037
Syria,2004,390.4888889
Syria,2005,376.3407407
Syria,2006,413.8666667
Syria,2007,434.8521191
Syria,2008,464.0352489
Syria,2009,431.7311181
Syria,2010,412.9673444
Syria,2011,193.88
Syria,2012,194.3592467
Syria,2013,194.4013966
Syria,2014,193.88
Syria,2015,193.88
Syria,2016,193.88
Syria,2017,193.88
Syria,2018,179.5860933
Taiwan,1950,6759.720516
Taiwan,1951,8248.778791
Taiwan,1952,9858.907948
Taiwan,1953,10641.14765
Taiwan,1954,11465.40921
Taiwan,1955,15321.38513
Taiwan,1956,17677.84096
Taiwan,1957,19118.71001
Taiwan,1958,23631.55732
Taiwan,1959,25840.00019
Taiwan,1960,27980.94631
Taiwan,1961,33800.37493
Taiwan,1962,37028.92617
Taiwan,1963,39463.83599
Taiwan,1964,44067.3559
Taiwan,1965,50332.53772
Taiwan,1966,61602.61648
Taiwan,1967,73559.63033
Taiwan,1968,92616.52898
Taiwan,1969,94975.53943
Taiwan,1970,109747.8182
Taiwan,1971,127351.524
Taiwan,1972,143341.2729
Taiwan,1973,144896.3971
Taiwan,1974,139366.2487
Taiwan,1975,154004.1882
Taiwan,1976,161852.8117
Taiwan,1977,179747.918
Taiwan,1978,178515.9155
Taiwan,1979,178645.9836
Taiwan,1980,178835.164
Taiwan,1981,157061.6614
Taiwan,1982,183236.3628
Taiwan,1983,181298.0986
Taiwan,1984,188291.6649
Taiwan,1985,178443.3019
Taiwan,1986,183221.2512
Taiwan,1987,183709.3014
Taiwan,1988,195058.9898
Taiwan,1989,179175.5741
Taiwan,1990,161261.1469
Taiwan,1991,154885.4891
Taiwan,1992,160582.5051
Taiwan,1993,172403.7141
Taiwan,1994,147490.4011
Taiwan,1995,145224.7152
Taiwan,1996,139557.0421
Taiwan,1997,138477.382
Taiwan,1998,147739.5758
Taiwan,1999,120104.7086
Taiwan,2000,116477.5363
Taiwan,2001,126467.0333
Taiwan,2002,132884.6494
Taiwan,2003,133189.9424
Taiwan,2004,123334.6877
Taiwan,2005,110444.1145
Taiwan,2006,86598.51178
Taiwan,2007,77618.47889
Taiwan,2008,64028.99027
Taiwan,2009,73711.354
Taiwan,2010,67360.77855
Taiwan,2011,73161.78692
Taiwan,2012,101689.293
Taiwan,2013,100653.1572
Taiwan,2014,103679.128
Taiwan,2015,96575.92277
Taiwan,2016,125254.1445
Taiwan,2017,87780.01592
Taiwan,2018,93769.88937
Tanzania,1961,2.97824
Tanzania,1962,5.95648
Tanzania,1963,8.93472
Tanzania,1964,11.91296
Tanzania,1965,14.8912
Tanzania,1966,737.1194754
Tanzania,1967,599.6542189
Tanzania,1968,736.3078187
Tanzania,1969,936.6827363
Tanzania,1970,1061.080115
Tanzania,1971,839.5571597
Tanzania,1972,598.5302496
Tanzania,1973,650.7741334
Tanzania,1974,239.2860318
